Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,312.579987,314.75,306.959991,308.519989,308.519989,2783200
1/5/2015,307.01001,308.380005,300.850006,302.190002,302.190002,2774200
1/6/2015,302.23999,303,292.380005,295.290009,295.290009,3519000
1/7/2015,297.5,301.279999,295.329987,298.420013,298.420013,2640300
1/8/2015,300.320007,303.140015,296.109985,300.459991,300.459991,3088400
1/9/2015,301.480011,302.869995,296.679993,296.929993,296.929993,2589500
1/12/2015,297.559998,298.51001,289.279999,291.410004,291.410004,3421400
1/13/2015,297.480011,301.5,293.230011,294.73999,294.73999,4130900
1/14/2015,291.929993,295.910004,286.5,293.269989,293.269989,5538700
1/15/2015,294,296,286.820007,286.950012,286.950012,4419200
1/16/2015,286.279999,290.790009,285.25,290.73999,290.73999,3478200
1/19/2015,289.4349975,292.074997,285.8200075,290.089996,290.089996,3270350
1/20/2015,292.589996,293.359985,286.390015,289.440002,289.440002,3062500
1/21/2015,289.640015,306,287.26001,297.25,297.25,10065100
1/22/2015,300,312.25,300,310.320007,310.320007,5362600
1/23/2015,308.079987,316.929993,307.720001,312.390015,312.390015,4467100
1/26/2015,311.820007,313,307.519989,309.660004,309.660004,3169700
1/27/2015,306.299988,310.23999,302.630005,306.75,306.75,2920300
1/28/2015,309.809998,311.51001,303.799988,303.910004,303.910004,3063800
1/29/2015,304.730011,312.799988,299.329987,311.779999,311.779999,8656600
1/30/2015,346.320007,359.5,340.73999,354.529999,354.529999,23856100
2/2/2015,350.049988,365,350.01001,364.470001,364.470001,10231900
2/3/2015,360.290009,367.820007,360.209991,363.549988,363.549988,6204100
2/4/2015,358.380005,367.5,358.230011,364.75,364.75,4169900
2/5/2015,366,378.799988,365.899994,373.890015,373.890015,7247600
2/6/2015,374.869995,375.98999,371.01001,374.279999,374.279999,3871300
2/9/2015,371,374.410004,367.200012,370.559998,370.559998,2724600
2/10/2015,371.190002,374.299988,368.51001,373,373,2287200
2/11/2015,371.230011,377.100006,371.100006,375.140015,375.140015,2786500
2/12/2015,375.100006,378.51001,373.149994,377.170013,377.170013,2791100
2/13/2015,378.410004,383,377.01001,381.829987,381.829987,3475100
2/16/2015,378.0650025,381.494995,374.8400115,378.62999,378.62999,3574150
2/17/2015,377.720001,379.98999,372.670013,375.429993,375.429993,3673200
2/18/2015,373.779999,376.73999,372.850006,373.369995,373.369995,2523500
2/19/2015,373.48999,381.880005,373.429993,379,379,2953800
2/20/2015,378.619995,383.700012,375.839996,383.660004,383.660004,3258000
