Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,532.599976,535.799988,527.880005,529.549988,529.549988,1324000
1/5/2015,527.150024,527.98999,517.75,519.460022,519.460022,2059100
1/6/2015,520.5,521.210022,505.549988,506.640015,506.640015,2722800
1/7/2015,510.950012,511.48999,503.649994,505.149994,505.149994,2345900
1/8/2015,501.51001,507.5,495.019989,506.910004,506.910004,3652700
1/9/2015,508.179993,508.600006,498.649994,500.720001,500.720001,2097000
1/12/2015,499.23999,500.279999,490.910004,497.059998,497.059998,2854100
1/13/2015,502.570007,508.600006,497.26001,501.799988,501.799988,3047900
1/14/2015,500.420013,508.26001,498.160004,505.929993,505.929993,2640000
1/15/2015,508.890015,509.75,502.01001,504.01001,504.01001,2553400
1/16/2015,503.149994,510.850006,503.089996,510.459991,510.459991,2482900
1/19/2015,507.960007,513.2299955,506.2299955,510.1999965,510.1999965,2411350
1/20/2015,512.77002,515.609985,509.369995,509.940002,509.940002,2339800
1/21/2015,510.839996,521.849976,509.589996,520.390015,520.390015,2317800
1/22/2015,523,538.840027,521.909973,537.299988,537.299988,2803400
1/23/2015,538.030029,545.409973,535.75,541.950012,541.950012,2292800
1/26/2015,541.5,541.5,532.070007,536.719971,536.719971,1544700
1/27/2015,531.400024,532.780029,520.859985,521.190002,521.190002,1957400
1/28/2015,525,525.690002,512.349976,512.429993,512.429993,1791100
1/29/2015,512.900024,515.190002,503.480011,513.22998,513.22998,3950900
1/30/2015,519,543.099976,518.179993,537.549988,537.549988,6055400
2/2/2015,534.320007,536.5,521.719971,532.200012,532.200012,3768900
2/3/2015,529.940002,537.450012,526.809998,533.299988,533.299988,2330200
2/4/2015,533.140015,536.75,525.030029,526.099976,526.099976,1694800
2/5/2015,527.929993,530.690002,525.640015,529.830017,529.830017,1658800
2/6/2015,531.01001,540.219971,528.650024,533.880005,533.880005,2134400
2/9/2015,531.059998,533.880005,527.549988,529.280029,529.280029,1515700
2/10/2015,532.150024,541,529.169983,540.159973,540.159973,2371500
2/11/2015,539.72998,541.950012,536,538,538,1915300
2/12/2015,539.659973,548.340027,537,546.01001,546.01001,2429500
2/13/2015,547.51001,552.539978,546.599976,551.159973,551.159973,2369100
2/16/2015,549.3349915,552.769989,544.929993,548.0849915,548.0849915,2163900
2/17/2015,551.159973,553,543.26001,545.01001,545.01001,1958700
2/18/2015,543.820007,547.549988,539.549988,542.650024,542.650024,1453300
2/19/2015,542.469971,546.859985,540.75,546.450012,546.450012,1541700
